Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1426.489    -1438.712       12.223   315.2
0.0050        -1434.927    -1479.380       44.452  1146.3
0.0100        -1437.932    -1479.720       41.788  1077.6
0.0150        -1441.469    -1487.723       46.253  1192.8
0.0200        -1444.706    -1488.321       43.615  1124.7
0.0250        -1448.323    -1492.005       43.683  1126.5
0.0300        -1450.736    -1495.116       44.380  1144.5
0.0350        -1453.517    -1493.509       39.993  1031.3
0.0400        -1456.754    -1493.826       37.072   956.0
0.0450        -1459.063    -1493.317       34.255   883.4
0.0500        -1460.831    -1492.713       31.882   822.2
