Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2007.236    -2021.375       14.139   303.8
0.0050        -2007.170    -2019.388       12.218   262.6
0.0100        -2006.888    -2020.385       13.497   290.0
0.0150        -2006.695    -2018.803       12.108   260.2
0.0200        -2006.539    -2018.148       11.609   249.5
0.0250        -2007.032    -2018.841       11.808   253.8
0.0300        -2007.107    -2018.390       11.283   242.5
0.0350        -2006.743    -2019.085       12.343   265.2
0.0400        -2006.829    -2019.075       12.246   263.2
0.0450        -2006.863    -2019.271       12.408   266.6
0.0500        -2006.519    -2020.663       14.143   303.9
0.0550        -2006.207    -2018.814       12.607   270.9
0.0600        -2006.097    -2019.276       13.179   283.2
0.0650        -2006.117    -2018.646       12.529   269.3
0.0700        -2006.107    -2019.724       13.618   292.6
0.0750        -2006.564    -2019.764       13.200   283.7
0.0800        -2006.557    -2018.811       12.254   263.3
0.0850        -2006.455    -2020.953       14.499   311.6
0.0900        -2006.159    -2019.514       13.355   287.0
0.0950        -2005.861    -2018.748       12.887   276.9
0.1000        -2006.162    -2019.240       13.078   281.1
0.1050        -2006.084    -2019.694       13.610   292.5
0.1100        -2006.207    -2019.562       13.354   287.0
0.1150        -2006.082    -2019.683       13.601   292.3
0.1200        -2005.730    -2019.135       13.405   288.1
0.1250        -2005.493    -2018.629       13.136   282.3
0.1300        -2005.613    -2019.191       13.577   291.8
0.1350        -2005.741    -2019.561       13.821   297.0
0.1400        -2005.845    -2018.393       12.548   269.7
0.1450        -2005.752    -2019.217       13.465   289.4
0.1500        -2006.035    -2019.826       13.791   296.4
0.1550        -2006.039    -2019.378       13.339   286.7
0.1600        -2006.069    -2019.211       13.142   282.4
0.1650        -2005.854    -2019.364       13.510   290.3
0.1700        -2005.773    -2019.144       13.371   287.3
0.1750        -2005.234    -2018.251       13.017   279.7
0.1800        -2005.468    -2019.290       13.822   297.0
0.1850        -2005.909    -2019.240       13.331   286.5
0.1900        -2006.166    -2018.985       12.819   275.5
0.1950        -2006.230    -2019.863       13.632   293.0
0.2000        -2006.397    -2019.457       13.060   280.6
0.2050        -2006.035    -2019.704       13.669   293.7
0.2100        -2006.232    -2019.942       13.710   294.6
0.2150        -2006.178    -2019.856       13.678   293.9
0.2200        -2005.989    -2019.844       13.855   297.7
0.2250        -2005.587    -2018.577       12.991   279.2
0.2300        -2005.726    -2019.950       14.224   305.7
0.2350        -2005.504    -2018.921       13.417   288.3
0.2400        -2005.027    -2018.295       13.268   285.1
0.2450        -2005.625    -2020.082       14.457   310.7
0.2500        -2005.669    -2019.148       13.480   289.7
0.2550        -2006.020    -2020.213       14.193   305.0
0.2600        -2006.044    -2019.460       13.416   288.3
0.2650        -2006.162    -2019.852       13.690   294.2
0.2700        -2006.083    -2019.045       12.962   278.6
0.2750        -2006.219    -2019.858       13.639   293.1
0.2800        -2006.184    -2020.227       14.043   301.8
0.2850        -2006.352    -2019.536       13.183   283.3
0.2900        -2006.578    -2020.452       13.874   298.2
0.2950        -2006.374    -2019.902       13.528   290.7
0.3000        -2006.701    -2019.914       13.213   284.0
0.3050        -2007.112    -2020.145       13.033   280.1
0.3100        -2006.916    -2020.219       13.302   285.9
0.3150        -2007.360    -2019.940       12.580   270.3
0.3200        -2007.381    -2020.140       12.758   274.2
0.3250        -2008.326    -2020.788       12.462   267.8
0.3300        -2008.189    -2020.764       12.575   270.2
0.3350        -2008.059    -2020.498       12.439   267.3
0.3400        -2007.661    -2020.413       12.751   274.0
0.3450        -2007.549    -2020.569       13.020   279.8
0.3500        -2007.532    -2020.157       12.625   271.3
0.3550        -2007.462    -2020.063       12.601   270.8
0.3600        -2007.792    -2020.187       12.395   266.4
0.3650        -2007.689    -2020.586       12.897   277.2
0.3700        -2006.792    -2020.415       13.624   292.8
0.3750        -2006.431    -2019.534       13.103   281.6
0.3800        -2006.768    -2020.630       13.862   297.9
0.3850        -2007.098    -2020.395       13.297   285.8
0.3900        -2007.155    -2019.960       12.805   275.2
0.3950        -2006.815    -2020.751       13.936   299.5
0.4000        -2006.794    -2020.211       13.417   288.3
0.4050        -2006.717    -2020.822       14.105   303.1
0.4100        -2007.347    -2021.139       13.791   296.4
0.4150        -2007.270    -2020.768       13.498   290.1
0.4200        -2007.342    -2020.942       13.600   292.3
0.4250        -2007.116    -2020.283       13.167   283.0
0.4300        -2006.840    -2020.645       13.805   296.7
0.4350        -2007.268    -2020.300       13.032   280.1
0.4400        -2007.314    -2021.156       13.842   297.5
0.4450        -2007.187    -2021.240       14.053   302.0
0.4500        -2007.179    -2020.063       12.884   276.9
0.4550        -2007.080    -2021.098       14.018   301.2
0.4600        -2006.906    -2019.922       13.016   279.7
0.4650        -2006.757    -2020.675       13.918   299.1
0.4700        -2006.658    -2019.849       13.191   283.5
0.4750        -2006.450    -2019.713       13.263   285.0
0.4800        -2006.341    -2020.290       13.948   299.7
0.4850        -2005.924    -2018.777       12.853   276.2
0.4900        -2006.026    -2020.088       14.062   302.2
0.4950        -2006.056    -2020.339       14.283   306.9
0.5000        -2006.306    -2019.107       12.801   275.1
